,Unnamed: 0,tweet_id,user_id,user_name,text,time,retweets,favorited,place,geo
48,48,1038508932115955714,1018203082277212165,FedExInBikeLane,RT @jimkourlas: Hey @FedEx what's with your driver parking in a bike lane for 20 minutes on 1400 block of N Milwaukee Ave when there was pl…,Sat Sep 08 19:26:38 +0000 2018,2,0,,
5,5,1043625110312181760,727234359611129857,Galen_Henseler,RT @Galen_Henseler: Almost two months later and there is still no word from @Microsoft/@MicrosoftHelps or @FedEx/@FedExHelp about a missing…,Sat Sep 22 22:16:30 +0000 2018,2,0,,
0,0,1044326812644401152,975917045920415745,connorscott02,RT @JakeOwensPhoto: @matthewkheafy @FedEx @FedExHelp @Epiphone @EverTune8 Headless guitars are very in right now,Mon Sep 24 20:44:49 +0000 2018,2,0,,
0,0,1044309523350065153,430541362,JakeOwensPhoto,@matthewkheafy @FedEx @FedExHelp @Epiphone @EverTune8 Headless guitars are very in right now,Mon Sep 24 19:36:07 +0000 2018,2,10,,
30,30,1035542474436083712,1018203082277212165,FedExInBikeLane,"RT @OverSharerRTD: Aaaand, you guessed it, truck in the bike lane on Wynkoop. Keep it classy @FedEx ! @DenPublicWorks @ThingsInTheLane",Fri Aug 31 14:59:00 +0000 2018,2,0,,
0,0,1044512818664361984,546117694,techinfobit,"RT @nishantkundan: @FedExHelp @FedEx could you please tell me why it's saying, ""No delivery date available at this time"". https://t.co/mAnj…",Tue Sep 25 09:03:56 +0000 2018,2,0,,
0,0,1044470579640721408,69849960,nishantkundan,"@FedExHelp @FedEx could you please tell me why it's saying, ""No delivery date available at this time"". https://t.co/mAnjzuwmiq",Tue Sep 25 06:16:06 +0000 2018,2,2,,
72,72,1044976718291906560,1018203082277212165,FedExInBikeLane,"This is the scene EVERY DAY outside of the @FedExOffice store on E Houston St. They illegally use the bike lane here as their own personal loading bay, regardless of the risk to cyclists. @FedEx you have the means to stop this now, if you want to. https://t.co/vYQA99JG7x",Wed Sep 26 15:47:19 +0000 2018,2,3,,
7,7,1040745748210561024,1665461508,julez_26,"@mgtkn @FedEx Twitter Success!! In the midst of Florence, God made it happen and Mom has her chemo medicine!! Special thanks to all that helped, it means so much.  @MichaelPerchick @FedExHelp https://t.co/YEe6jwu8n7",Fri Sep 14 23:34:57 +0000 2018,2,35,,
4,4,1042671886717599744,754704901792489472,jbarnett71,RT @FedExEurope: Are you getting the most of your business meetings? Check out these #toptips to help you achieve more effective and effici…,Thu Sep 20 07:08:44 +0000 2018,2,0,,
4,4,1038451496747073536,727234359611129857,Galen_Henseler,"Almost two months later and there is still no word from @Microsoft/@MicrosoftHelps or @FedEx/@FedExHelp about a missing package worth almost $2,500. Simply that they are still looking into it and will get back to me as soon as they know more. TWO MONTHS. #badcustomerservice",Sat Sep 08 15:38:24 +0000 2018,2,1,,
0,0,1044311095559761922,3146717286,_brandtm,RT @JakeOwensPhoto: @matthewkheafy @FedEx @FedExHelp @Epiphone @EverTune8 Headless guitars are very in right now,Mon Sep 24 19:42:22 +0000 2018,2,0,,
0,0,1044521080277229568,11984102,TechButthead,"RT @nishantkundan: @FedExHelp @FedEx could you please tell me why it's saying, ""No delivery date available at this time"". https://t.co/mAnj…",Tue Sep 25 09:36:46 +0000 2018,2,0,,
7,7,1032397670097346560,1018203082277212165,FedExInBikeLane,RT @Aunt_Bike: 412 bike lane tickets? No wonder @FedEx wants PM's on this issue instead of getting it out into the air.  #BikeNYC https://t…,Wed Aug 22 22:42:40 +0000 2018,2,0,,
1,1,974084034606387201,39789111,natehyde,RT @emilytlrod: Thanks to @FedEx for making this moment possible—they got me the passport I realized I left at home Friday at 6PM. It was t…,Thu Mar 15 00:45:06 +0000 2018,2,0,,
38,38,1037379274213339137,1018203082277212165,FedExInBikeLane,RT @tcblockedlanes: Appears to be the new Park Ave freeway @RevRosenwinkel ??#tcblockedlanes @FedExInBikeLane https://t.co/QotcnGlCON,Wed Sep 05 16:37:47 +0000 2018,2,0,,
37,37,1037007952895463425,1018203082277212165,FedExInBikeLane,Here's @FedEx in the Houston St #BikeNYC lane showing a basic contempt for human life and the law. Not a good company. #loadinglosers https://t.co/S4XTtfxn7k,Tue Sep 04 16:02:17 +0000 2018,2,4,,
42,42,1037454942825525248,1018203082277212165,FedExInBikeLane,"RT @dcspokes: Hi @FedExHelp, On Friday 8/31/2018 at 7:25AM this @FedEx vehicle was parked in the bike lane of G St NW. 

This is the fifth…",Wed Sep 05 21:38:28 +0000 2018,2,0,,
41,41,1037454922856521728,1018203082277212165,FedExInBikeLane,"RT @ProvocCities: @FedEx @FedExHelp: your driver parked illegally in a bike lane around 3:30 9/5/18 at 3929 N Southport, #Chicago. Per city…",Wed Sep 05 21:38:23 +0000 2018,2,0,,
